n,Time_t0,Time_t1
1,7.599999662488699e-06,6.00004568696022e-07
2,8.00006091594696e-07,4.00003045797348e-07
3,5.999900167807937e-07,3.00002284348011e-07
4,6.00004568696022e-07,3.00002284348011e-07
5,5.999900167807937e-07,3.00002284348011e-07
6,4.00003045797348e-07,3.00002284348011e-07
7,3.9998849388211966e-07,3.00002284348011e-07
8,1.1999945854768157e-06,7.00005330145359e-07
9,5.999900167807937e-07,4.00003045797348e-07
10,4.00003045797348e-07,4.00003045797348e-07
11,4.00003045797348e-07,2.9998773243278265e-07
12,4.999892553314567e-07,3.00002284348011e-07
13,4.00003045797348e-07,3.00002284348011e-07
14,4.00003045797348e-07,3.00002284348011e-07
15,3.9998849388211966e-07,3.00002284348011e-07
16,4.00003045797348e-07,3.00002284348011e-07
17,4.00003045797348e-07,3.00002284348011e-07
18,4.999892553314567e-07,3.00002284348011e-07
19,4.00003045797348e-07,3.00002284348011e-07
20,4.00003045797348e-07,2.9998773243278265e-07
21,3.9998849388211966e-07,3.00002284348011e-07
22,4.00003045797348e-07,4.00003045797348e-07
23,4.00003045797348e-07,3.00002284348011e-07
24,4.00003045797348e-07,2.9998773243278265e-07
25,4.00003045797348e-07,3.00002284348011e-07
26,4.00003045797348e-07,3.00002284348011e-07
27,4.00003045797348e-07,3.00002284348011e-07
28,4.00003045797348e-07,2.9998773243278265e-07
29,4.00003045797348e-07,3.00002284348011e-07
30,4.00003045797348e-07,3.00002284348011e-07
31,3.9998849388211966e-07,3.00002284348011e-07
32,4.00003045797348e-07,3.00002284348011e-07
33,4.00003045797348e-07,2.9998773243278265e-07
34,4.999892553314567e-07,3.00002284348011e-07
35,5.00003807246685e-07,3.00002284348011e-07
36,4.00003045797348e-07,3.00002284348011e-07
37,3.9998849388211966e-07,2.9998773243278265e-07
38,4.00003045797348e-07,3.00002284348011e-07
39,4.00003045797348e-07,3.00002284348011e-07
40,4.999892553314567e-07,3.00002284348011e-07
41,4.00003045797348e-07,3.00002284348011e-07
42,4.00003045797348e-07,3.00002284348011e-07
43,3.9998849388211966e-07,3.00002284348011e-07
44,4.00003045797348e-07,3.00002284348011e-07
45,4.00003045797348e-07,3.00002284348011e-07
46,4.00003045797348e-07,2.9998773243278265e-07
47,4.00003045797348e-07,3.00002284348011e-07
48,4.00003045797348e-07,3.00002284348011e-07
49,4.00003045797348e-07,3.00002284348011e-07
50,3.9998849388211966e-07,3.00002284348011e-07
51,4.00003045797348e-07,3.00002284348011e-07
52,4.00003045797348e-07,4.00003045797348e-07
53,3.9998849388211966e-07,3.00002284348011e-07
54,4.00003045797348e-07,3.00002284348011e-07
55,4.00003045797348e-07,2.9998773243278265e-07
56,4.00003045797348e-07,3.00002284348011e-07
57,4.00003045797348e-07,3.00002284348011e-07
58,4.00003045797348e-07,2.00001522898674e-07
59,3.9998849388211966e-07,3.00002284348011e-07
60,4.00003045797348e-07,3.00002284348011e-07
61,4.00003045797348e-07,3.00002284348011e-07
62,2.9998773243278265e-07,3.00002284348011e-07
63,4.00003045797348e-07,3.00002284348011e-07
64,4.00003045797348e-07,2.9998773243278265e-07
65,3.9998849388211966e-07,3.00002284348011e-07
66,4.00003045797348e-07,3.00002284348011e-07
67,3.9998849388211966e-07,3.00002284348011e-07
68,4.00003045797348e-07,3.00002284348011e-07
69,4.00003045797348e-07,3.00002284348011e-07
70,4.00003045797348e-07,3.00002284348011e-07
71,4.00003045797348e-07,3.00002284348011e-07
72,4.00003045797348e-07,2.9998773243278265e-07
73,4.00003045797348e-07,3.00002284348011e-07
74,3.9998849388211966e-07,3.00002284348011e-07
75,4.00003045797348e-07,3.00002284348011e-07
76,4.00003045797348e-07,3.00002284348011e-07
77,3.9998849388211966e-07,3.00002284348011e-07
78,4.00003045797348e-07,3.00002284348011e-07
79,3.9998849388211966e-07,3.00002284348011e-07
80,4.00003045797348e-07,2.9998773243278265e-07
81,4.00003045797348e-07,3.00002284348011e-07
82,3.9998849388211966e-07,3.00002284348011e-07
83,4.00003045797348e-07,3.00002284348011e-07
84,4.00003045797348e-07,3.00002284348011e-07
85,4.00003045797348e-07,2.9998773243278265e-07
86,4.00003045797348e-07,3.00002284348011e-07
87,4.00003045797348e-07,3.00002284348011e-07
88,5.00003807246685e-07,3.00002284348011e-07
89,3.9998849388211966e-07,2.9998773243278265e-07
90,4.00003045797348e-07,2.00001522898674e-07
91,4.00003045797348e-07,2.00001522898674e-07
92,4.999892553314567e-07,2.00001522898674e-07
93,4.00003045797348e-07,2.00001522898674e-07
94,4.00003045797348e-07,2.9998773243278265e-07
95,3.9998849388211966e-07,3.00002284348011e-07
96,4.00003045797348e-07,3.00002284348011e-07
97,4.00003045797348e-07,3.00002284348011e-07
98,3.9998849388211966e-07,3.00002284348011e-07
99,4.00003045797348e-07,2.9998773243278265e-07
100,4.00003045797348e-07,3.00002284348011e-07
101,4.00003045797348e-07,3.00002284348011e-07
102,5.4000120144337416e-06,3.00002284348011e-07
103,6.999907782301307e-07,3.00002284348011e-07
104,4.00003045797348e-07,3.00002284348011e-07
105,4.00003045797348e-07,3.00002284348011e-07
106,3.9998849388211966e-07,3.00002284348011e-07
107,4.00003045797348e-07,3.00002284348011e-07
108,4.00003045797348e-07,2.9998773243278265e-07
109,3.9998849388211966e-07,3.00002284348011e-07
110,4.00003045797348e-07,3.00002284348011e-07
111,3.9998849388211966e-07,2.00001522898674e-07
112,4.00003045797348e-07,2.00001522898674e-07
113,4.00003045797348e-07,2.00001522898674e-07
114,3.9998849388211966e-07,2.00001522898674e-07
115,4.00003045797348e-07,3.00002284348011e-07
116,4.00003045797348e-07,3.00002284348011e-07
117,4.00003045797348e-07,2.9998773243278265e-07
118,4.00003045797348e-07,3.00002284348011e-07
119,4.00003045797348e-07,3.00002284348011e-07
120,4.00003045797348e-07,3.00002284348011e-07
121,4.00003045797348e-07,3.00002284348011e-07
122,5.00003807246685e-07,1.3999961083754897e-06
123,4.00003045797348e-07,3.00002284348011e-07
124,3.9998849388211966e-07,2.9998773243278265e-07
125,4.00003045797348e-07,3.00002284348011e-07
126,4.00003045797348e-07,3.00002284348011e-07
127,4.00003045797348e-07,3.00002284348011e-07
128,4.00003045797348e-07,3.00002284348011e-07
129,4.00003045797348e-07,2.9998773243278265e-07
130,3.9998849388211966e-07,3.00002284348011e-07
131,4.00003045797348e-07,3.00002284348011e-07
132,4.00003045797348e-07,3.00002284348011e-07
133,3.9998849388211966e-07,2.9998773243278265e-07
134,4.00003045797348e-07,3.00002284348011e-07
135,4.00003045797348e-07,3.00002284348011e-07
136,4.00003045797348e-07,3.00002284348011e-07
137,4.00003045797348e-07,3.00002284348011e-07
138,4.00003045797348e-07,2.9998773243278265e-07
139,4.00003045797348e-07,3.00002284348011e-07
140,3.9998849388211966e-07,3.00002284348011e-07
141,4.00003045797348e-07,3.00002284348011e-07
142,4.00003045797348e-07,3.00002284348011e-07
143,3.9998849388211966e-07,2.9998773243278265e-07
144,4.00003045797348e-07,3.00002284348011e-07
145,4.00003045797348e-07,3.00002284348011e-07
146,3.9998849388211966e-07,3.00002284348011e-07
147,4.00003045797348e-07,3.00002284348011e-07
148,4.00003045797348e-07,3.00002284348011e-07
149,4.00003045797348e-07,3.00002284348011e-07
150,4.00003045797348e-07,3.00002284348011e-07
151,4.00003045797348e-07,4.00003045797348e-07
152,4.999892553314567e-07,1.9998697098344564e-07
153,4.00003045797348e-07,2.00001522898674e-07
154,4.00003045797348e-07,2.00001522898674e-07
155,4.00003045797348e-07,2.00001522898674e-07
156,3.9998849388211966e-07,2.00001522898674e-07
157,4.00003045797348e-07,2.9998773243278265e-07
158,4.00003045797348e-07,3.00002284348011e-07
159,3.9998849388211966e-07,3.00002284348011e-07
160,4.00003045797348e-07,3.00002284348011e-07
161,4.00003045797348e-07,3.00002284348011e-07
162,4.00003045797348e-07,3.00002284348011e-07
163,4.00003045797348e-07,3.00002284348011e-07
164,4.00003045797348e-07,3.00002284348011e-07
165,4.00003045797348e-07,3.00002284348011e-07
166,3.9998849388211966e-07,2.9998773243278265e-07
167,4.00003045797348e-07,3.00002284348011e-07
168,4.00003045797348e-07,3.00002284348011e-07
169,4.999892553314567e-07,3.00002284348011e-07
170,4.00003045797348e-07,3.00002284348011e-07
171,4.00003045797348e-07,2.9998773243278265e-07
172,3.9998849388211966e-07,3.00002284348011e-07
173,4.00003045797348e-07,3.00002284348011e-07
174,4.00003045797348e-07,2.00001522898674e-07
175,3.9998849388211966e-07,2.00001522898674e-07
176,4.00003045797348e-07,2.00001522898674e-07
177,4.00003045797348e-07,2.00001522898674e-07
178,3.9998849388211966e-07,3.00002284348011e-07
179,4.00003045797348e-07,3.00002284348011e-07
180,4.00003045797348e-07,2.9998773243278265e-07
181,4.00003045797348e-07,3.00002284348011e-07
182,4.00003045797348e-07,3.00002284348011e-07
183,4.00003045797348e-07,3.00002284348011e-07
184,4.00003045797348e-07,3.00002284348011e-07
185,3.9998849388211966e-07,2.9998773243278265e-07
186,4.00003045797348e-07,3.00002284348011e-07
187,4.00003045797348e-07,3.00002284348011e-07
188,3.9998849388211966e-07,3.00002284348011e-07
189,4.00003045797348e-07,3.00002284348011e-07
190,4.00003045797348e-07,2.9998773243278265e-07
191,4.00003045797348e-07,3.00002284348011e-07
192,4.00003045797348e-07,3.00002284348011e-07
193,4.00003045797348e-07,3.00002284348011e-07
194,4.00003045797348e-07,3.00002284348011e-07
195,3.9998849388211966e-07,2.00001522898674e-07
196,4.00003045797348e-07,2.00001522898674e-07
197,5.00003807246685e-07,2.00001522898674e-07
198,3.9998849388211966e-07,2.00001522898674e-07
199,4.00003045797348e-07,2.00001522898674e-07
200,4.00003045797348e-07,2.00001522898674e-07
201,3.9998849388211966e-07,2.00001522898674e-07
202,4.00003045797348e-07,3.00002284348011e-07
203,4.00003045797348e-07,3.00002284348011e-07
204,3.9998849388211966e-07,3.00002284348011e-07
205,4.00003045797348e-07,3.00002284348011e-07
206,4.00003045797348e-07,3.00002284348011e-07
207,3.9998849388211966e-07,3.00002284348011e-07
208,5.00003807246685e-07,2.9998773243278265e-07
209,5.00003807246685e-07,3.00002284348011e-07
210,4.00003045797348e-07,3.00002284348011e-07
211,4.00003045797348e-07,3.00002284348011e-07
212,4.00003045797348e-07,3.00002284348011e-07
213,5.00003807246685e-07,2.9998773243278265e-07
214,3.9998849388211966e-07,2.00001522898674e-07
215,4.00003045797348e-07,2.00001522898674e-07
216,4.00003045797348e-07,2.00001522898674e-07
217,4.999892553314567e-07,2.00001522898674e-07
